PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2677558,73589686,4.09
2677558,73589693,4.09
2677558,73589709,4.09
2677558,73589716,4.09
2677558,73589723,4.09
2677558,73589730,4.09
2677558,73589747,4.09
2677559,73589778,4.09
2677559,73589785,4.09
2677559,73589792,4.09
2677559,73589808,4.09
2677559,73589815,4.09
2677559,73589822,4.09
2677559,73589839,4.09
2677596,73593218,2.79
2677596,73593232,2.79
2677596,73593249,2.79
2677596,73593256,2.79
2677597,73593300,3.04
2677597,73593324,3.04
2677597,73593331,3.04
2677597,73593348,3.04
2677598,73593126,3.04
2677598,73593140,3.04
2677598,73593157,3.04
2677598,73593164,3.04
2677893,73592556,3.44
2677893,73592563,3.44
2677893,73592570,3.44
2677893,73592587,3.44
2677893,73592594,3.44
2677893,73592600,3.44
2677893,73592617,3.44
2677958,73592464,3.44
2677958,73592471,3.44
2677958,73592488,3.44
2677958,73592495,3.44
2677958,73592501,3.44
2677958,73592518,3.44
2677958,73592525,3.44
2678104,73598879,5.64
2678104,73598893,5.64
2678104,73598909,5.64
2678104,73598916,5.64
2678105,73598770,5.64
2678105,73598794,5.64
2678105,73598800,5.64
2678105,73598817,5.64
2677560,73587453,5.54
2677560,73587460,5.54
2677560,73587477,5.54
2677560,73587484,5.54
2677560,73587491,5.54
2677560,73587507,5.54
2677560,73587514,5.54
2677561,73587729,5.54
2677561,73587736,5.54
2677561,73587743,5.54
2677561,73587750,5.54
2677561,73587767,5.54
2677561,73587774,5.54
2677561,73587781,5.54
2677562,73587811,5.54
2677562,73587828,5.54
2677562,73587835,5.54
2677562,73587842,5.54
2677562,73587859,5.54
2677562,73587866,5.54
2677562,73587873,5.54
2677563,73587545,5.54
2677563,73587552,5.54
2677563,73587569,5.54
2677563,73587576,5.54
2677563,73587583,5.54
2677563,73587590,5.54
2677563,73587606,5.54
2677564,73589778,4.09
2677564,73589785,4.09
2677564,73589792,4.09
2677564,73589808,4.09
2677564,73589815,4.09
2677564,73589822,4.09
2677564,73589839,4.09
2677565,73589686,4.09
2677565,73589693,4.09
2677565,73589709,4.09
2677565,73589716,4.09
2677565,73589723,4.09
2677565,73589730,4.09
2677565,73589747,4.09
2677894,73590019,4.19
2677894,73590026,4.19
2677894,73590033,4.19
2677894,73590040,4.19
2677894,73590057,4.19
2677894,73590064,4.19
2677894,73590071,4.19
2677896,73590286,4.19
2677896,73590293,4.19
2677896,73590309,4.19
2677896,73590316,4.19
2677896,73590323,4.19
2677896,73590330,4.19
2677896,73590347,4.19
2677897,73590194,4.19
2677897,73590200,4.19
2677897,73590217,4.19
2677897,73590224,4.19
2677897,73590231,4.19
2677897,73590248,4.19
2677897,73590255,4.19
2677959,73592556,3.44
2677959,73592563,3.44
2677959,73592570,3.44
2677959,73592587,3.44
2677959,73592594,3.44
2677959,73592600,3.44
2677959,73592617,3.44
2677960,73592464,3.44
2677960,73592471,3.44
2677960,73592488,3.44
2677960,73592495,3.44
2677960,73592501,3.44
2677960,73592518,3.44
2677960,73592525,3.44
2677566,73584308,7.79
2677566,73584322,7.79
2677566,73584339,7.79
2677566,73584346,7.79
2677567,73585169,5.22
2677567,73585183,5.22
2677567,73585190,5.22
2677567,73585206,5.22
2677961,73592464,3.44
2677961,73592471,3.44
2677961,73592488,3.44
2677961,73592495,3.44
2677961,73592501,3.44
2677961,73592518,3.44
2677961,73592525,3.44
2677962,73592556,3.44
2677962,73592563,3.44
2677962,73592570,3.44
2677962,73592587,3.44
2677962,73592594,3.44
2677962,73592600,3.44
2677962,73592617,3.44
2677568,73587453,5.54
2677568,73587460,5.54
2677568,73587477,5.54
2677568,73587484,5.54
2677568,73587491,5.54
2677568,73587507,5.54
2677568,73587514,5.54
2677569,73587545,5.54
2677569,73587552,5.54
2677569,73587569,5.54
2677569,73587576,5.54
2677569,73587583,5.54
2677569,73587590,5.54
2677569,73587606,5.54
2677570,73587729,5.54
2677570,73587736,5.54
2677570,73587743,5.54
2677570,73587750,5.54
2677570,73587767,5.54
2677570,73587774,5.54
2677570,73587781,5.54
2677571,73589686,4.09
2677571,73589693,4.09
2677571,73589709,4.09
2677571,73589716,4.09
2677571,73589723,4.09
2677571,73589730,4.09
2677571,73589747,4.09
2677572,73589778,4.09
2677572,73589785,4.09
2677572,73589792,4.09
2677572,73589808,4.09
2677572,73589815,4.09
2677572,73589822,4.09
2677572,73589839,4.09
2677603,73593812,3.14
2677603,73593836,3.14
2677603,73593843,3.14
2677603,73593850,3.14
2677604,73593720,2.41
2677604,73593744,2.41
2677604,73593751,2.41
2677604,73593768,2.41
2677605,73593638,2.79
2677605,73593652,2.79
2677605,73593669,2.79
2677605,73593676,2.79
2677606,73593904,2.79
2677606,73593928,2.79
2677606,73593935,2.79
2677606,73593942,2.79
2677616,73586371,2.46
2677616,73586388,2.46
2677616,73586395,2.46
2677616,73586401,2.46
2677616,73586418,2.46
2677616,73586425,2.46
2677616,73586432,2.46
2677617,73586289,2.19
2677617,73586296,2.19
2677617,73586302,2.19
2677617,73586319,2.19
2677617,73586326,2.19
2677617,73586333,2.19
2677617,73586340,2.19
2677898,73590286,4.19
2677898,73590293,4.19
2677898,73590309,4.19
2677898,73590316,4.19
2677898,73590323,4.19
2677898,73590330,4.19
2677898,73590347,4.19
2677899,73590019,4.19
2677899,73590026,4.19
2677899,73590033,4.19
2677899,73590040,4.19
2677899,73590057,4.19
